Europe%Denmark%A P Moller - Maersk,0,0,49039.4,161,32811.5,228,33093.6,241,51729.33,185
Europe%Switzerland%Credit Suisse Group,0,0,0,0,61176.8,94,34245.4,225,51659.97,186
North America%US%Simon Property Group,0,0,0,0,23987.5,328,42815,164,51537.14,187
North America%Canada%Suncor Energy,35189.3,189,44771.2,181,50813.8,131,50844.4,137,51462.19,188
Europe%France%Schneider Electric,24436,293,31838.6,280,30875.4,242,35811.5,217,51365.94,189
Europe%UK%National Grid,0,0,34528.8,251,24065.2,326,35918.5,216,51121.14,190
North America%US%Texas Instruments,51963,127,37495,225,30390.5,246,38385.4,202,51014.86,191
Europe%UK%Standard Chartered,32405.4,211,48292,163,55301.1,115,59424.6,113,50726.95,192
Europe%UK%Standard Chartered,0,0,0,0,55301.1,115,59424.6,113,50726.95,192
North America%US%Accenture,17230.7,452,20805.5,451,26722.8,285,41567.1,173,50468.25,193
Asia%India%Reliance Industries,24898,284,82048.4,80,78670.8,68,48199.9,143,50367.78,194
North America%US%Duke Energy,27056.6,256,22542.1,409,21387.9,368,28110.6,304,50349.3,195
North America%US%Duke Energy,0,0,0,0,21387.9,368,28110.6,304,50349.3,195
North America%US%Halliburton,37695.9,175,34616.6,248,27270.4,279,30633.8,263,50107.51,196
Europe%UK%BT Group,32150.7,215,33659.3,257,0,0,28159.4,303,50100.03,197
Europe%Switzerland%Richemont,24965.1,283,29396.4,309,20248.7,386,32687.6,249,49875.57,198
Europe%Switzerland%Richemont,0,0,0,0,20248.7,386,32687.6,249,49875.57,198
North America%US%Lowe's Companies,0,0,0,0,34987.7,209,37621.8,206,49818.13,199
Europe%France%Societe Generale,65109.1,90,57315.4,127,46614.8,147,22700,391,49211.97,200
Europe%France%Societe Generale,0,0,0,0,46614.8,147,22700,391,49211.97,200
North America%US%Costco Wholesale,25522,276,28148.7,323,26302.6,294,39404.7,190,49125.5,201
Asia%Israel%Teva Pharmaceutical,0,0,0,0,59441.4,98,42899.7,163,48971.54,202
North America%US%LyondellBasell Industries,0,0,0,0,0,0,25072.5,344,48292.13,203
Europe%Germany%Continental,15988.1,495,0,0,0,0,18848.7,467,48183,204
Asia%Japan%Mizuho Financial Group,0,0,0,0,30403.8,245,39415.4,189,48028.61,205
Europe%Russia%Lukoil,70766.8,76,72723.1,89,48293.8,140,51457.5,132,47443.92,206
North America%US%Thermo Fisher Scientific,0,0,23793.2,388,21062.7,374,20626.8,436,47109.08,207
